编号,名字,别名,世代,种族,属性,装备凹槽,消耗容量,成长,退化,进化,进化条件,Lv.1数值,Lv.99数值,SS,必杀技,继承技
100,独眼龙兽,,成熟期,病毒,土,2,6,防御,"['亚古兽（黑）', '穿山兽', '多路兽']","['超蛇龙兽', '多路龙兽', '分子兽']","('等级：14', 'HP：', 'SP：', 'ATK：30', 'DEF：40', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：450', 'SP：35', 'ATK：78', 'INT：40', 'DEF：65', 'SPD：42')","('HP：1430', 'SP：133', 'ATK：185', 'INT：147', 'DEF：192', 'SPD：120')","('火灾现场的怪力', 'HP在50%以下时，ATK提升25%.')","[('超高热量', '对敌方单体发动威力85的火属性物理攻击，并有10%的机率使对方的DEF降低10%。')]","['Lv.爆击填充', 'Lv.地牛翻身Ⅰ', 'Lv.交叉拳']"
101,血狼兽,,成熟期,病毒,暗,2,6,HP,"['迦奥兽', '德古兽', '露娜兽']","['吸血魔兽', '银狼兽', '斗牛士兽', '黑兽人加鲁鲁']","('等级：15', 'HP：', 'SP：', 'ATK：50', 'DEF：', 'INT：', 'SPD：55', '友情：', '才能：', '')","('HP：550', 'SP：41', 'ATK：70', 'INT：41', 'DEF：38', 'SPD：60')","('HP：1820', 'SP：129', 'ATK：177', 'INT：139', 'DEF：145', 'SPD：148')","('吸血鬼', '增加依照HP吸取效果的回复量25%。')","[('贯穿刀刃', '对敌方单体发动暗属性威力25的物理攻击3~5次，吸取10%的HP。')]","['Lv.破坏加农Ⅱ', 'Lv.梦魇Ⅱ', 'Lv.物理耗竭']"
102,向日葵兽,,成熟期,资料,木,2,6,魔防,"['甲虫兽', '巴鲁兽', '蘑菇兽', '拉拉兽']","['天女兽', '丁香兽', '花仙兽']","('等级：14', 'HP：150', 'SP：', 'ATK：', 'DEF：', 'INT：40', 'SPD：', '友情：', '才能：', '')","('HP：650', 'SP：55', 'ATK：25', 'INT：78', 'DEF：40', 'SPD：42')","('HP：1720', 'SP：172', 'ATK：103', 'INT：205', 'DEF：138', 'SPD：130')","('花朵守护', '不会陷入剧毒状态')","[('阳光射线', '对敌方单体发动威力80的光属性魔法攻击。')]","['Lv.盖亚元素Ⅱ', 'Lv.神圣之光Ⅱ', 'Lv.X治愈']"
103,海龙兽,,成熟期,资料,水,2,6,魔防,"['蝌蚪兽', '虾蛄兽', '比特兽']","['怪蛙皇', '超海龙兽', '巨鲸兽', '龙王兽']","('等级：14', 'HP：', 'SP：', 'ATK：', 'DEF：30', 'INT：40', 'SPD：', '友情：', '才能：', '')","('HP：550', 'SP：60', 'ATK：25', 'INT：71', 'DEF：50', 'SPD：44')","('HP：1620', 'SP：177', 'ATK：103', 'INT：198', 'DEF：148', 'SPD：132')","('不可思议的鳞片', '无效基本状态下降效果。')","[('寒冰箭', '对敌方单体发动威力75的水属性魔法攻击，并有10%的机率使对方的SPD降低10%。')]","['Lv.发电水流Ⅱ', 'Lv.反混乱', 'Lv.反射镜']"
104,希拉兽,腔棘鱼兽,成熟期,资料,水,2,6,双刀,"['蝌蚪兽', '虾蛄兽']","['安杜路兽', '达高兽', '超海龙兽', '龙王兽']","('等级：14', 'HP：300', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：30', '友情：', '才能：', '')","('HP：800', 'SP：30', 'ATK：55', 'INT：32', 'DEF：61', 'SPD：47')","('HP：1780', 'SP：128', 'ATK：172', 'INT：149', 'DEF：149', 'SPD：145')","('深海救星', '水属性技能造成的伤害增加15%。')","[('多变夺命镖', '对敌方单体发动水属性威力30的物理攻击3次。')]","['Lv.寒冰之箭Ⅱ', 'Lv.负极锁链', 'Lv.重度强袭Ⅱ']"
105,大地暴龙兽,,成熟期,疫苗,火,1,8,速攻,"['亚古兽', '基尔兽', '哈克兽']","['千兆龙兽', '地龙兽', '丧尸暴龙兽', '进升暴龙兽']","('等级：15', 'HP：150', 'SP：', 'ATK：50', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：750', 'SP：45', 'ATK：80', 'INT：25', 'DEF：40', 'SPD：60')","('HP：1920', 'SP：133', 'ATK：207', 'INT：103', 'DEF：128', 'SPD：177')","('火灾现场的怪力', 'HP在50%以下时，ATK提升25%.')","[('百万爆破', '对敌方全体发动威力45的火属性物理攻击。')]","['Lv.云雾汽油弹Ⅱ', 'Lv.重度强袭Ⅱ', 'Lv.交叉拳']"
106,大便兽,,成熟期,病毒,土,2,6,铁壁,"['亚古兽', '艾力兽', '芝蒙兽', '积木亚古兽']","['超级流星兽', '悟空兽', '入侵者兽']","('等级：12', 'HP：150', 'SP：', 'ATK：', 'DEF：40', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：800', 'SP：45', 'ATK：45', 'INT：25', 'DEF：70', 'SPD：40')","('HP：2070', 'SP：152', 'ATK：133', 'INT：113', 'DEF：197', 'SPD：118')","('走为上策', '有逃脱的机会的战斗，绝对能逃脱成功。')","[('大便', '对敌方单体发动威力75的土属性物理攻击，并有30%的机率使对方的SPD降低10%。')]","['Lv.混乱鬼火', 'Lv.智能破坏', 'Lv.梦魇Ⅱ']"
107,星星兽,,成熟期,资料,无,2,6,万能,"['矿石兽', '积木亚古兽', '齿轮兽', '太阳兽']","['捕捉豆豆兽', '新月兽', '超级流星兽', '豆豆兽', '钢铁豆豆兽']","('等级：14', 'HP：150', 'SP：', 'ATK：', 'DEF：35', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：550', 'SP：45', 'ATK：55', 'INT：42', 'DEF：60', 'SPD：48')","('HP：1620', 'SP：152', 'ATK：153', 'INT：140', 'DEF：158', 'SPD：155')","('正义的团结', '连击的发生、持续机率提升10%')","[('流星风暴', '对敌方全体发动威力40的无属性物理攻击。')]","['Lv.重度强袭Ⅰ', 'Lv.神圣钩爪Ⅱ', 'Lv.力量能源Ⅱ']"
108,飞虫兽,,成熟期,自由,木,1,8,速攻,"['甲虫兽', '夜鹰兽', '幻蜂兽', '虫虫兽']","['地狱使者兽', '大古加兽', '恐蜂兽', '机甲龙兽']","('等级：14', 'HP：', 'SP：', 'ATK：40', 'DEF：', 'INT：', 'SPD：55', '友情：', '才能：', '')","('HP：550', 'SP：40', 'ATK：80', 'INT：35', 'DEF：30', 'SPD：75')","('HP：1720', 'SP：128', 'ATK：207', 'INT：113', 'DEF：118', 'SPD：192')","('自然灵魂', '木属性技能造成的伤害增加15%。')","[('终结刺钉', '对敌方单体发动木属性中威力的DEF贯穿攻击，容易产生爆击。')]","['Lv.新月之叶Ⅱ', 'Lv.狂风暴雨Ⅰ', 'Lv.烈风利爪Ⅱ']"
109,强袭龙兽,,成熟期,疫苗,土,2,6,速攻,"['哥玛兽', 'V仔兽', '单角龙兽']","['电子龙兽', '救星哈克兽', '兽人加鲁鲁']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：570', 'SP：28', 'ATK：88', 'INT：29', 'DEF：43', 'SPD：60')","('HP：1740', 'SP：116', 'ATK：215', 'INT：107', 'DEF：131', 'SPD：177')","('正义的团结', '连击的发生、持续机率提升10%')","[('强袭獠牙', '对敌方单体发动火属性威力90的物理攻击。使对方10%的机率产生眩晕效果。')]","['Lv.流星坠落Ⅰ', 'Lv.守备破坏', 'Lv.马赫突击Ⅱ']"
110,兹巴伊戈兽,,成熟期,疫苗,无,1,8,攻击,"['哈克兽', '兹巴兽']","['银狼兽', '杜兰兽', '死神兽']","('等级：20', 'HP：', 'SP：', 'ATK：50', 'DEF：', 'INT：', 'SPD：50', '友情：', '才能：', '')","('HP：580', 'SP：28', 'ATK：85', 'INT：24', 'DEF：68', 'SPD：62')","('HP：1750', 'SP：106', 'ATK：212', 'INT：102', 'DEF：185', 'SPD：160')","('Legend-Arms', '增加光·暗属性技能的所给予的伤害10%。')","[('旋斩尾刀', '对敌方单体发动无属性威力15的物理攻击4~8次。20%的机率能使自我的ATK上升10%。')]","['Lv.马赫突击Ⅰ', 'Lv.重度强袭Ⅱ', 'Lv.爆击填充']"
111,冰巫师兽,,成熟期,疫苗,水,1,8,魔防,"['小妖兽', '哥玛兽', '小狗兽']","['玉兔兽', '妖精兽', '贤者兽']","('等级：16', 'HP：', 'SP：40', 'ATK：', 'DEF：', 'INT：40', 'SPD：', '友情：', '才能：', '')","('HP：500', 'SP：65', 'ATK：25', 'INT：85', 'DEF：44', 'SPD：46')","('HP：1570', 'SP：182', 'ATK：103', 'INT：212', 'DEF：142', 'SPD：134')","('心头灭却', '不会陷入混乱状态')","[('冰晶云', '对敌方全体发动威力30的水属性魔法攻击。')]","['Lv.发电水流Ⅱ', 'Lv.反射镜', 'Lv.X治愈']"
112,坦克兽,,成熟期,资料,雷,2,6,防御,"['亚古兽（黑）', '穿山兽', '矿石兽']","['安杜路兽', '千兆龙兽', '炮蜂兽', '骑士兽', '火山兽']","('等级：14', 'HP：', 'SP：', 'ATK：', 'DEF：55', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：450', 'SP：35', 'ATK：60', 'INT：45', 'DEF：78', 'SPD：42')","('HP：1430', 'SP：133', 'ATK：167', 'INT：152', 'DEF：205', 'SPD：120')","('铁壁的守护', 'DEF提升15%。')","[('高压加农炮', '对敌方单体发动威力200的火属性物理攻击，使用后将因反作用力而无法行动1回合。')]","['Lv.奈米机械破坏Ⅱ', 'Lv.命中填充', 'Lv.眩晕冲击']"
113,泥熊兽,泥人兽,成熟期,资料,土,2,6,万能,"['巴鲁兽', '蘑菇兽', '黑大耳兽']","['陨石兽', '熊猫兽', '南瓜兽']","('等级：14', 'HP：150', 'SP：', 'ATK：', 'DEF：40', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：660', 'SP：43', 'ATK：52', 'INT：48', 'DEF：50', 'SPD：46')","('HP：1730', 'SP：150', 'ATK：150', 'INT：146', 'DEF：148', 'SPD：153')","('动物竞技场', '土属性技能造成的伤害增加15%。')","[('巨重拳', '对敌方单体发动土属性威力85的物理攻击。10%的机率能夠减少对方的DEF 10%。')]","['Lv.彗星重锤', 'Lv.灵气', 'Lv.地牛翻身Ⅰ']"
114,巨龙兽,,成熟期,资料,火,2,6,攻击,"['亚古兽', '亚古兽（黑）', '基尔兽']","['豆豆兽', '超蛇龙兽', '机械暴龙兽（蓝）', '钢铁巨龙兽']","('等级：14', 'HP：150', 'SP：', 'ATK：40', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：650', 'SP：20', 'ATK：85', 'INT：20', 'DEF：67', 'SPD：48')","('HP：1820', 'SP：98', 'ATK：212', 'INT：98', 'DEF：184', 'SPD：146')","('威吓', '发动攻击时，有10%的机率使对方眩晕。')","[('火焰吐息', '对敌方单体发动威力90的火属性物理攻击，容易产生爆击。')]","['Lv.加速增幅器', 'Lv.云雾汽油弹Ⅱ', 'Lv.重度强袭Ⅱ']"
115,迪路兽,,成熟期,疫苗,光,1,8,智力,"['大耳兽', '巴达兽', '小狗兽', '露娜兽']","['天女兽', '人面战鹰兽', '熊猫兽', '花仙兽']","('等级：16', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：40', 'SPD：', '友情：25%', '才能：', '')","('HP：250', 'SP：80', 'ATK：30', 'INT：80', 'DEF：35', 'SPD：65')","('HP：1030', 'SP：207', 'ATK：108', 'INT：207', 'DEF：123', 'SPD：182')","('神圣环', 'HP回复效果增加20%。')","[('猫猫拳', '给予敌方单体150的固定伤害，并有60%的机率使对方混乱。')]","['Lv.神圣之光Ⅱ', 'Lv.灵气', 'Lv.复活']"
116,恶魔兽,,成熟期,病毒,暗,1,8,双刀,"['德古兽', '小恶魔兽', '光明兽', '黑大耳兽']","['地狱使者兽', '吸血魔兽', '丧尸撒旦兽', '蓝色火焰兽', '机械暴龙兽（蓝）']","('等级：16', 'HP：', 'SP：', 'ATK：40', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：5', '')","('HP：500', 'SP：45', 'ATK：75', 'INT：67', 'DEF：40', 'SPD：48')","('HP：1480', 'SP：143', 'ATK：192', 'INT：184', 'DEF：128', 'SPD：146')","('噩梦军团', '暗属性技能造成的伤害增加15%。')","[('死亡之爪', '给予敌方单体200的固定伤害，并吸取20%HP。')]","['Lv.破坏加农Ⅱ', 'Lv.物理耗竭', 'Lv.地狱粉碎Ⅰ']"
117,兔爷兽,兔儿爷兽,成熟期,病毒,暗,1,8,速攻,"['妖狐兽', '黑大耳兽']","['玉兔兽', '电子龙兽', '熊仔兽']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：560', 'SP：34', 'ATK：67', 'INT：39', 'DEF：47', 'SPD：62')","('HP：1730', 'SP：122', 'ATK：194', 'INT：117', 'DEF：135', 'SPD：179')","('动物竞技场', '土属性技能造成的伤害增加15%。')","[('岩兔烈斗', '对敌方单体发动无属性威力30的物理攻击3次。容易产生CRT。')]","['Lv.彗星重锤Ⅱ', 'Lv.爆击填充', 'Lv.马赫突击Ⅰ']"
118,仙人掌兽,,成熟期,资料,木,1,8,HP,"['迦奥兽', '巴鲁兽', '幻蜂兽', '拉拉兽']","['音速迦奥迦兽', '花仙兽', '南瓜兽']","('等级：16', 'HP：300', 'SP：', 'ATK：', 'DEF：30', 'INT：', 'SPD：', '友情：25', '才能：', '')","('HP：700', 'SP：40', 'ATK：55', 'INT：44', 'DEF：60', 'SPD：46')","('HP：1970', 'SP：128', 'ATK：162', 'INT：142', 'DEF：167', 'SPD：134')","('剧毒的荆棘', '发动攻击时，有10%的机率使对方中毒。')","[('尖尖碰碰拳', '对敌方全体发动威力40的木属性物理攻击，并有5%的机率使对方麻痹。')]","['Lv.新月之叶Ⅱ', 'Lv.反麻痹', 'Lv.麻痹电网']"
119,多路加兽,,成熟期,资料,土,1,8,速攻,"['加支兽', '加布兽', '多路兽', '单角龙兽']","['黄金剑士兽', '麒麟兽', '多路龙兽', '进升暴龙兽']","('等级：14', 'HP：', 'SP：', 'ATK：40', 'DEF：', 'INT：', 'SPD：40', '友情：', '才能：', '')","('HP：600', 'SP：40', 'ATK：75', 'INT：30', 'DEF：45', 'SPD：65')","('HP：1770', 'SP：128', 'ATK：202', 'INT：108', 'DEF：133', 'SPD：182')","('蓄力的一击', 'CRT提升15%。')","[('强力金属弹', '对敌方单体发动威力90的无属性物理攻击，并有30%的机率使自己的ATK提升10%。')]","['Lv.彗星重锤Ⅱ', 'Lv.守备填充', 'Lv.速度填充']"
120,亚伯兽,什么兽,成熟期,病毒,土,2,6,防御,"['艾力兽', '加支兽', '野人兽', '芝蒙兽']","['蛋蛋兽', '超级流星兽', '陨石兽']","('等级：12', 'HP：', 'SP：', 'ATK：40', 'DEF：40', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：580', 'SP：35', 'ATK：55', 'INT：45', 'DEF：70', 'SPD：42')","('HP：1560', 'SP：133', 'ATK：162', 'INT：152', 'DEF：197', 'SPD：120')","('屹立不摇', '不会陷入眩晕状态')","[('粪便灌篮', '对敌方单体发动威力80的土属性物理攻击，并有30%的机率使对方的DEF降低10%。')]","['Lv.彗星重锤Ⅱ', 'Lv.攻击破坏', 'Lv.晕眩冲击']"
121,鼻涕兽,,成熟期,病毒,土,2,6,铁壁,"['蝌蚪兽', '加布兽', '比特兽']","['黑帝鼻涕兽', '悟空兽', '熊仔兽']","('等级：12', 'HP：150', 'SP：', 'ATK：', 'DEF：40', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：750', 'SP：46', 'ATK：40', 'INT：25', 'DEF：75', 'SPD：44')","('HP：2020', 'SP：153', 'ATK：128', 'INT：113', 'DEF：202', 'SPD：122')","('捡拾', '增加敌人掉落道具的机率。')","[('大便投掷', '对敌方单体发动威力75的土属性物理攻击，并有30%的机率使对方的ATK降低10%。')]","['Lv.剧毒陷阱', 'Lv.速度破坏', 'Lv.寒冰之箭Ⅱ']"
122,巴多拉兽,,成熟期,疫苗,火,1,8,速度,"['巴达兽', '比丘兽', '麻鹰兽']","['飞行V龙兽', '伽楼达兽', '麒麟兽', '仙鹰兽', '八咫鸦兽', '炎龙兽']","('等级：14', 'HP：', 'SP：40', 'ATK：', 'DEF：', 'INT：40', 'SPD：40', '友情：', '才能：', '')","('HP：500', 'SP：60', 'ATK：45', 'INT：60', 'DEF：35', 'SPD：65')","('HP：1380', 'SP：167', 'ATK：143', 'INT：158', 'DEF：133', 'SPD：192')","('不死鸟之羽', '不会陷入即死状态')","[('陨石巨翼', '对敌方全体发动威力25的火属性魔法攻击，并有10%的机率会使自己的SPD提升10%。')]","['Lv.爆裂火焰Ⅱ', 'Lv.反剧毒', 'Lv.流星坠落Ⅰ']"
123,巴欧哈克兽,刃王哈克兽,成熟期,资料,火,1,8,智力,"['哈克兽', '兹巴兽', '小狗兽']","['银狼兽', '救星哈克兽', '进升暴龙兽']","('等级：16', 'HP：', 'SP：', 'ATK：55', 'DEF：', 'INT：', 'SPD：50', '友情：', '才能：', '')","('HP：600', 'SP：33', 'ATK：77', 'INT：27', 'DEF：73', 'SPD：55')","('HP：1380', 'SP：160', 'ATK：155', 'INT：154', 'DEF：161', 'SPD：172')","('战斗天分', 'HP在10%以下时，ATK提升50%。')","[('五连十字', '对敌方单体发动土属性威力55的物理攻击2次。ACU90%。')]","['Lv.攻击填充', 'Lv.重度强袭Ⅱ', 'Lv.流星坠落Ⅱ']"
124,猛鬼兽,鬼怪兽,成熟期,病毒,暗,2,6,智力,"['小妖兽', '哈哈兽', '小恶魔兽']","['吸血魔兽', '南瓜兽', '死神兽', '蓝色火焰兽', '斗牛士兽', '女恶魔兽']","('等级：13', 'HP：', 'SP：40', 'ATK：', 'DEF：', 'INT：30', 'SPD：', '友情：', '才能：', '')","('HP：200', 'SP：85', 'ATK：25', 'INT：75', 'DEF：30', 'SPD：70')","('HP：980', 'SP：212', 'ATK：103', 'INT：202', 'DEF：118', 'SPD：187')","('奇异的舞蹈', '发动攻击时，有10%的机率使对方混乱。')","[('死亡魅惑', '减少敌方单体10%HP。')]","['Lv.梦魇Ⅱ', 'Lv.敏捷填充', 'Lv.物理耗竭']"
125,V龙兽,,成熟期,疫苗,风,1,8,攻击,"['加布兽', '天龙兽', 'V仔兽', '小狗兽']","['飞行V龙兽', '电子龙兽', '钢铁巨龙兽', '大古拉兽']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：600', 'SP：45', 'ATK：75', 'INT：25', 'DEF：55', 'SPD：65')","('HP：1770', 'SP：123', 'ATK：202', 'INT：103', 'DEF：172', 'SPD：163')","('龙之愤怒', 'ATK提升15%。')","[('V疾风矢', '对敌方单体发动威力110的火属性物理攻击，使用后将因反作用力而受到HP5%的伤害。')]","['Lv.烈风利爪Ⅱ', 'Lv.正极锁链', 'Lv.神圣钩爪Ⅱ']"
126,羽蝶兽,,成熟期,自由,木,1,8,万能,['虫虫兽'],"['丁香兽', '花仙兽', '炮蜂兽']","('等级：15', 'HP：', 'SP：40', 'ATK：', 'DEF：', 'INT：', 'SPD：40', '友情：100', '才能：', '骇客追忆通关')","('HP：450', 'SP：58', 'ATK：60', 'INT：64', 'DEF：36', 'SPD：62')","('HP：1520', 'SP：165', 'ATK：158', 'INT：162', 'DEF：134', 'SPD：169')","('无限之夢', '降低受到异常状态的机率10%，每一回合回复HP5%。')","[('无限之梦', '全体敌人各50%的机率会产生剧毒、混乱、麻痹的异常状态。'), ('飞踢', '对敌方单体发动木属性威力95的物理攻击')]","['Lv10.盖亚元素Ⅱ', 'Lv18.符文之森Ⅰ', 'Lv25.灵气']"
127,白金大便兽,,成熟期,病毒,无,2,6,速度,"['哈哈兽', '齿轮兽', '哈克兽']","['悟空兽', '捕捉豆豆兽', '入侵者兽', '钢铁豆豆兽']","('等级：20', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：10', 'SP：45', 'ATK：35', 'INT：1', 'DEF：999', 'SPD：40')","('HP：890', 'SP：152', 'ATK：133', 'INT：99', 'DEF：999', 'SPD：167')","('白金服务', '增加在战斗中所获得的EXP。')","[('稀有金属大便', '对敌方单体发动威力80的土属性物理攻击，并产生击退效果。')]","['Lv.反bug', 'Lv.智能破坏', 'Lv.角色倒置']"
128,黑迪路兽,黑暗迪路兽,成熟期,病毒,暗,1,8,智力,"['小妖兽', '芝蒙兽', '妖狐兽', '黑大耳兽']","['电子龙兽', '骑士兽', '女恶魔兽', '黑兽人加鲁鲁']","('等级：16', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：40', 'SPD：', '友情：25', '才能：', '')","('HP：300', 'SP：70', 'ATK：45', 'INT：70', 'DEF：40', 'SPD：60')","('HP：1080', 'SP：197', 'ATK：123', 'INT：197', 'DEF：128', 'SPD：177')","('噩梦军团', '暗属性技能造成的伤害增加15%。')","[('猫猫拳', '给予敌方单体150的固定伤害，并有60%的机率使对方混乱。')]","['Lv.梦魇Ⅱ', 'Lv.雄伟巨石Ⅱ', 'Lv.力量能源Ⅱ']"
129,鼻屎兽,野菜兽,成熟期,病毒,木,2,6,HP,"['加布兽（黑）', '巴鲁兽', '比特兽', '蘑菇兽', '拉拉兽']","['蛋蛋兽', '丁香兽', '超比多兽']","('等级：12', 'HP：300', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：750', 'SP：35', 'ATK：60', 'INT：38', 'DEF：53', 'SPD：44')","('HP：2020', 'SP：123', 'ATK：167', 'INT：136', 'DEF：160', 'SPD：132')","('自然灵魂', '木属性技能造成的伤害增加15%。')","[('超恶臭喷射', '对敌方全体发动威力20的土属性魔法攻击，并有30%的机率使对方的SPD降低10%。')]","['Lv.盖亚元素Ⅱ', 'Lv.速度破坏', 'Lv.剧毒陷阱']"
130,锐啄兽,啄木鸟兽,成熟期,疫苗,风,1,8,速度,"['管狐兽', '夜鹰兽', '麻鹰兽']","['玉兔兽', '妖精兽', '八咫鸦兽']","('等级：14', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：50', '友情：', '才能：', '')","('HP：350', 'SP：60', 'ATK：55', 'INT：45', 'DEF：35', 'SPD：85')","('HP：1230', 'SP：167', 'ATK：153', 'INT：143', 'DEF：133', 'SPD：212')","('风之守卫', '风属性技能造成的伤害增加15%。')","[('苦无羽', '对敌方单体发动3次威力30的风属性物理攻击。')]","['Lv.烈风利爪Ⅱ', 'Lv.敏捷填充', 'Lv.疾速逃脱']"
131,火焰兽,燃烧兽,成熟期,资料,火,2,6,攻击,"['亚古兽', '基尔兽', '麻鹰兽', '太阳兽']","['死神火焰兽', '邦加兽', '蓝色火焰兽', '火山兽', '豆豆兽', '炎龙兽']","('等级：14', 'HP：', 'SP：', 'ATK：40', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：550', 'SP：30', 'ATK：75', 'INT：40', 'DEF：55', 'SPD：50')","('HP：1720', 'SP：108', 'ATK：202', 'INT：118', 'DEF：172', 'SPD：148')","('龙之怒吼', '火属性技能造成的伤害增加15%。')","[('火焰重拳', '对敌方单体发动威力80的火属性物理攻击，并有30的机率使自己的ATK提升10%。')]","['Lv.攻击填充', 'Lv.云雾汽油弹Ⅱ', 'Lv.爆裂火焰Ⅱ']"
132,角龙兽,,成熟期,资料,土,2,6,攻击,"['亚古兽（黑）', '哈克兽']","['丧尸暴龙兽', '三角龙兽', '钢铁巨龙兽']","('等级：14', 'HP：', 'SP：', 'ATK：55', 'DEF：55', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：450', 'SP：37', 'ATK：72', 'INT：38', 'DEF：70', 'SPD：43')","('HP：1620', 'SP：115', 'ATK：199', 'INT：116', 'DEF：187', 'SPD：141')","('铁壁的守护', 'DEF提升15%。')","[('火山强击', '对敌方单体发动火属性威力95的物理攻击。')]","['Lv.彗星重锤Ⅱ', 'Lv.加速增幅器', 'Lv.地牛翻身Ⅰ']"
133,雪人兽,,成熟期,疫苗,水,2,6,HP,"['加布兽', '哥玛兽', '小狗兽', '加布兽（黑）']","['天女兽', '新月兽', '祖顿兽', '熊仔兽']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：750', 'SP：39', 'ATK：50', 'INT：50', 'DEF：45', 'SPD：46')","('HP：2020', 'SP：127', 'ATK：157', 'INT：148', 'DEF：152', 'SPD：134')","('深海救星', '水属性技能造成的伤害增加15%。')","[('绝对零度拳', '对敌方单体发动威力80的水属性物理攻击，并有10%的机率使对方眩晕。')]","['Lv.寒冰之箭Ⅱ', 'Lv.大海波浪Ⅰ', 'Lv.灵气']"
134,独角马兽,,成熟期,疫苗,风,2,6,智力,"['大耳兽', '巴达兽']","['妖精兽', '仙鹰兽', '神圣天使兽']","('等级：13', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：40', 'SPD：40', '友情：10%', '才能：', '')","('HP：400', 'SP：60', 'ATK：45', 'INT：65', 'DEF：35', 'SPD：60')","('HP：1180', 'SP：187', 'ATK：123', 'INT：192', 'DEF：123', 'SPD：177')","('正义基因', '光属性技能造成的伤害增加15%。')","[('神圣射击', '对敌方单体发动光属性威力75的魔法攻击。有10%机率提升自我INT 10%。')]","['Lv.音速空洞Ⅱ', 'Lv.速度填充', 'Lv.神圣之光Ⅱ']"
135,猛禽龙兽,,成熟期,疫苗,无,2,6,魔防,"['多路兽', '幻蜂兽', '单角龙兽', '龙蛇兽']","['千兆龙兽', '黄金剑士兽', '杜兰兽', '多路龙兽']","('等级：15', 'HP：130', 'SP：', 'ATK：50', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：600', 'SP：25', 'ATK：92', 'INT：20', 'DEF：52', 'SPD：56')","('HP：1670', 'SP：142', 'ATK：170', 'INT：147', 'DEF：150', 'SPD：144')","('蓄力的一击', 'CRT提升15%。')","[('金属冲击', '对敌方单体发动无属性威力90的物理攻击。容易产生CRT。')]","['Lv.重度强袭Ⅱ', 'Lv.彗星重锤Ⅱ', 'Lv.晕眩冲击']"
136,烂泥兽,,成熟期,病毒,土,2,6,速度,"['蝌蚪兽', '加布兽（黑）', '芝蒙兽', '德古兽']","['丧尸撒旦兽', '达高兽', '死神兽', '黑帝鼻涕兽', '机械暴龙兽（蓝）']","('等级：12', 'HP：500', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：890', 'SP：30', 'ATK：56', 'INT：39', 'DEF：51', 'SPD：40')","('HP：1770', 'SP：137', 'ATK：154', 'INT：137', 'DEF：149', 'SPD：167')","('捡拾', '增加敌人掉落道具的机率。')","[('烂泥', '对敌方全体发动土属性威力40的物理攻击。使对方10%的机率中剧毒。')]","['Lv.剧毒陷阱', 'Lv.马赫突击Ⅰ', 'Lv.角色倒置']"
137,狮子兽,,成熟期,疫苗,土,1,8,攻击,"['艾力兽', '迦奥兽', '加支兽', '阿卡迪兽成长期']","['陨石兽', '格斗狮子兽', '黄金剑士兽', '邦加兽', '机械暴龙兽']","('等级：16', 'HP：', 'SP：', 'ATK：55', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：600', 'SP：30', 'ATK：80', 'INT：32', 'DEF：65', 'SPD：48')","('HP：1770', 'SP：108', 'ATK：207', 'INT：110', 'DEF：182', 'SPD：146')","('动物竞技场', '土属性技能造成的伤害增加15%。')","[('兽王拳', '对敌方单体发动威力95的土属性物理攻击。')]","['Lv.彗星重锤Ⅱ', 'Lv.攻击填充', 'Lv.神圣钩爪Ⅱ']"
